time_step,pimple_iter,iter_time_s,reaction_time_s,other_time_s,reaction_percent,before_time,after_time,end_time
1.19999e-06,1,4.26,4.21,0.04999999999999982,98.82629107981221,0.09,4.3,4.35
2.63997e-06,1,2.42,2.3499999999999996,0.07000000000000028,97.10743801652892,4.36,6.71,6.78
4.36794e-06,1,2.499999999999999,2.4400000000000004,0.05999999999999872,97.60000000000005,6.78,9.22,9.28
6.44151e-06,1,2.3400000000000016,2.280000000000001,0.0600000000000005,97.43589743589742,9.29,11.57,11.63
8.92974e-06,1,2.3599999999999994,2.3099999999999987,0.05000000000000071,97.88135593220336,11.63,13.94,13.99
1.19155e-05,1,2.2399999999999984,2.1999999999999993,0.03999999999999915,98.21428571428575,14.0,16.2,16.24
1.54984e-05,1,2.210000000000001,2.1700000000000017,0.03999999999999915,98.19004524886881,16.24,18.41,18.45
1.97978e-05,1,2.16,2.099999999999998,0.060000000000002274,97.22222222222211,18.46,20.56,20.62
2.49567e-05,1,2.1400000000000006,2.099999999999998,0.0400000000000027,98.13084112149521,20.62,22.72,22.76
3.11471e-05,1,2.120000000000001,2.0700000000000003,0.05000000000000071,97.64150943396224,22.77,24.84,24.89
3.85752e-05,1,2.09,2.0500000000000007,0.03999999999999915,98.08612440191392,24.9,26.95,26.99
4.7489e-05,1,2.0799999999999983,2.0,0.0799999999999983,96.15384615384623,27.0,29.0,29.08
5.81854e-05,1,2.1400000000000006,2.080000000000002,0.05999999999999872,97.19626168224305,29.09,31.17,31.23
7.10206e-05,1,2.0500000000000007,2.0000000000000036,0.04999999999999716,97.56097560975624,31.24,33.24,33.29
8.64213e-05,1,2.1199999999999974,2.0799999999999983,0.03999999999999915,98.11320754716985,33.29,35.37,35.41
0.000104901,1,2.1400000000000006,2.0799999999999983,0.060000000000002274,97.19626168224289,35.42,37.5,37.56
0.000127077,1,2.270000000000003,2.219999999999999,0.05000000000000426,97.79735682819364,37.57,39.79,39.84
0.00015369,1,2.1499999999999986,2.0999999999999943,0.05000000000000426,97.67441860465095,39.84,41.94,41.99
0.000185622,1,2.210000000000001,2.1599999999999966,0.05000000000000426,97.73755656108578,42.0,44.16,44.21
0.000223941,1,2.1400000000000006,2.0900000000000034,0.04999999999999716,97.6635514018693,44.22,46.31,46.36
